Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Bulevard Sud,9-2023,9,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,10-2023,10,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,11-2023,11,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,12-2023,12,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Moli del Sol,1-2017,1,2017,2.48,0.01,421.02,353.25,2030.79,613.64,,,,105.8,,103.48,93.44,,12.13,9509.2,40.47,32.18,342.01,12.73,,0.6,,39.48215563893474,,-0.4086328955568287
Moli del Sol,2-2017,2,2017,1.26,0.01,380.76,321.4,1877.5,641.71,,,,79.61,,80.49,79.51,,6.3,10026.2,22.98,26.85,280.97,30.32,,0.01,,39.48215563893474,,-0.4086328955568287
Moli del Sol,3-2017,3,2017,3.34,0.0,241.9,235.74,1143.98,847.25,,,,121.71,,120.38,109.87,,5.51,10850.18,20.13,27.19,293.1,28.87,,0.07,,39.48215563893474,,-0.4086328955568287
Moli del Sol,4-2017,4,2017,0.43,0.0,335.86,284.95,1588.4,1049.89,,,,95.02,,84.02,62.92,,5.02,11100.82,20.89,24.23,209.64,35.39,,0.04,,39.48215563893474,,-0.4086328955568287
Moli del Sol,5-2017,5,2017,1.04,0.0,257.12,303.64,1440.67,886.61,,,,77.54,,69.72,48.2,,6.03,10624.48,21.26,21.81,216.63,23.26,,0.03,,39.48215563893474,,-0.4086328955568287
Moli del Sol,6-2017,6,2017,0.48,0.0,100.8,294.89,871.05,724.71,,,,52.81,,46.61,36.07,,5.38,10636.56,20.77,33.54,314.87,31.12,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,7-2017,7,2017,0.47,0.0,164.76,237.53,994.75,608.55,,,,71.34,,65.41,58.38,,3.45,11352.22,12.82,30.64,212.64,23.0,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,8-2017,8,2017,4.41,0.01,125.02,177.43,774.64,679.15,,,,98.2,,71.48,47.19,,4.91,10877.38,17.35,28.85,228.35,14.43,,0.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,9-2017,9,2017,2.58,0.01,192.45,221.01,1040.71,750.77,,,,76.36,,67.2,56.24,,5.14,10701.08,16.84,22.51,216.07,20.58,,0.61,,39.48215563893474,,-0.4086328955568287
Moli del Sol,10-2017,10,2017,1.03,0.0,467.04,369.03,2215.05,671.3,,,,158.05,,152.29,136.39,,3.83,10720.82,13.61,17.27,233.6,33.41,,0.03,,39.48215563893474,,-0.4086328955568287
Moli del Sol,11-2017,11,2017,6.66,0.01,902.98,549.14,4145.37,722.2,,,,514.22,,487.21,426.87,,5.2,9603.79,21.47,30.26,358.68,45.12,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,12-2017,12,2017,3.29,0.01,561.41,289.15,2355.34,679.88,,,,157.52,,141.54,128.13,,6.98,7269.71,28.68,29.77,227.48,68.16,,0.03,,39.48215563893474,,-0.4086328955568287
Moli del Sol,1-2018,1,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,2-2018,2,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,3-2018,3,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,4-2018,4,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,5-2018,5,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,6-2018,6,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,7-2018,7,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,8-2018,8,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,9-2018,9,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,10-2018,10,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,11-2018,11,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,12-2018,12,2018,,,,,,,,,,,,,,,,,,,,,,,,39.48215563893474,,-0.4086328955568287
Moli del Sol,1-2019,1,2019,5.68,0.01,708.57,404.78,3139.2,779.42,,,,238.27,,205.48,138.23,,7.8,7607.46,34.11,33.86,214.97,49.64,,0.01,,39.48215563893474,,-0.4086328955568287
Moli del Sol,2-2019,2,2019,4.61,0.01,616.49,450.63,2803.11,945.44,,,,242.28,,220.41,151.05,,4.95,11148.79,20.32,35.75,284.66,67.56,,0.05,,39.48215563893474,,-0.4086328955568287
Moli del Sol,3-2019,3,2019,5.05,0.01,178.4,342.62,1168.69,1018.55,,,,144.6,,117.06,81.48,,7.49,11056.91,28.23,30.07,296.74,43.1,,0.05,,39.48215563893474,,-0.4086328955568287
Moli del Sol,4-2019,4,2019,1.59,0.0,214.97,219.36,1135.1,898.12,,,,119.53,,95.15,53.91,,15.81,11649.46,55.76,26.22,318.75,48.39,,0.37,,39.48215563893474,,-0.4086328955568287
Moli del Sol,5-2019,5,2019,1.32,0.0,139.67,187.43,860.14,751.65,,,,126.67,,97.19,49.94,,6.9,11369.44,21.98,21.67,285.81,36.05,,0.09,,39.48215563893474,,-0.4086328955568287
Moli del Sol,6-2019,6,2019,1.24,0.01,170.09,200.66,962.64,719.15,,,,174.94,,139.82,65.95,,3.11,10529.05,12.69,32.58,289.82,22.06,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,7-2019,7,2019,1.49,0.01,275.41,196.31,1311.72,724.05,,,,181.45,,155.83,92.04,,4.22,11201.36,17.4,38.02,285.16,24.67,,1.25,,39.48215563893474,,-0.4086328955568287
Moli del Sol,8-2019,8,2019,1.03,0.0,97.27,166.59,656.4,531.69,,,,188.21,,149.58,89.37,,4.92,10845.55,18.61,34.99,227.59,15.98,,0.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,9-2019,9,2019,1.69,0.0,141.85,119.41,673.87,642.7,,,,181.85,,165.89,110.19,,7.03,10743.19,24.41,30.94,413.06,19.78,,0.07,,39.48215563893474,,-0.4086328955568287
Moli del Sol,10-2019,10,2019,1.33,0.01,119.1,194.47,726.0,487.9,,,,157.16,,134.17,75.03,,4.02,8335.19,16.25,26.66,329.08,24.59,,0.04,,39.48215563893474,,-0.4086328955568287
Moli del Sol,11-2019,11,2019,2.27,0.01,277.71,238.57,1446.49,480.32,,,,107.46,,84.62,38.97,,5.54,5480.06,22.68,28.56,200.12,51.67,,0.1,,39.48215563893474,,-0.4086328955568287
Moli del Sol,12-2019,12,2019,1.51,0.01,283.43,222.79,1383.08,622.78,,,,225.75,,209.57,146.61,,9.93,8199.39,42.8,30.87,227.91,82.84,,0.38,,39.48215563893474,,-0.4086328955568287
Moli del Sol,1-2020,1,2020,0.49,0.01,358.28,181.42,1500.96,490.35,,,,411.84,,307.1,132.44,,13.65,9201.66,45.77,39.92,358.41,33.95,,1.87,,39.48215563893474,,-0.4086328955568287
Moli del Sol,2-2020,2,2020,1.73,0.01,196.58,144.08,890.84,529.92,,,,577.61,,402.61,240.55,,6.75,10041.06,28.66,32.19,453.81,71.79,,0.01,,39.48215563893474,,-0.4086328955568287
Moli del Sol,3-2020,3,2020,2.74,0.0,75.28,75.02,393.04,452.65,,,,167.8,,155.2,111.18,,7.45,12391.72,28.47,29.75,301.9,35.18,,0.05,,39.48215563893474,,-0.4086328955568287
Moli del Sol,4-2020,4,2020,0.93,0.0,37.66,58.7,229.47,657.41,,,,151.26,,136.29,92.03,,5.4,10696.47,21.92,19.74,434.98,37.9,,0.22,,39.48215563893474,,-0.4086328955568287
Moli del Sol,5-2020,5,2020,1.24,0.0,15.69,54.92,152.11,706.51,,,,48.59,,42.47,28.81,,7.78,11093.17,24.16,20.75,346.15,41.0,,4.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,6-2020,6,2020,0.95,0.0,28.1,70.17,228.94,541.28,,,,67.64,,58.78,38.05,,5.09,10262.37,18.06,26.47,388.7,18.94,,0.0,,39.48215563893474,,-0.4086328955568287
Moli del Sol,7-2020,7,2020,0.89,0.01,62.07,77.47,361.13,598.4,,,,81.91,,75.82,50.98,,3.87,11203.72,13.81,30.96,290.75,18.8,,0.01,,39.48215563893474,,-0.4086328955568287
Moli del Sol,8-2020,8,2020,0.88,0.01,158.42,81.83,669.56,633.29,,,,135.75,,124.02,82.9,,3.11,12085.87,10.05,34.15,359.9,34.43,,0.12,,39.48215563893474,,-0.4086328955568287
Moli del Sol,9-2020,9,2020,1.03,0.0,52.46,129.84,389.37,691.87,,,,156.24,,143.17,91.03,,3.42,8772.19,13.37,26.82,544.04,21.65,,0.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,10-2020,10,2020,1.48,0.02,192.51,195.51,970.43,634.92,,,,119.93,,99.54,73.26,,4.18,9162.48,16.92,18.91,506.49,32.23,,0.02,,39.48215563893474,,-0.4086328955568287
Moli del Sol,11-2020,11,2020,1.15,0.01,254.64,247.7,1285.0,634.38,,,,202.74,,193.03,138.77,,4.37,9870.45,19.73,28.85,292.5,58.1,,1.35,,39.48215563893474,,-0.4086328955568287
